43,2.2,0,34,64,3.9,4.4,23,70,9.0,5.4,11,25,18,20,61,5.8,24,18,3503380,-1.2,36.2,4726,42,44,46,47,40,49,51,69,59,63,65,70,83,70,60,55,42,36,7587,12049,4771,2077,391900,981700,600,19500
25,1.3,0,24,38,1.7,2.7,11,42,5.7,2.9,6.3,15,11,14,37,4.1,15,12,1836172,-2.4,38.4,3507,27,25,27,26,28,28,34,40,29,37,40,42,48,36,32,32,29,25,4790,6947,2834,1141,202600,573900,400,14600
25,3.6,0.7,34,49,2.3,2.0,12,58,7.4,2.1,8.3,19,10,17,51,4.2,19,15,2325350,-2.5,37.4,6708,27,31,36,33,28,30,39,48,36,40,46,52,60,47,42,49,38,33,5756,9109,3283,1110,250500,692600,800,23700
46,1.6,0.9,78,169,4.9,13,52,148,19,12,19,46,27,45,106,8.9,45,31,7064698,-2,37.9,7010,81,88,95,100,103,99,109,141,112,115,116,127,159,128,107,97,80,73,16759,20248,9894,3626,729900,1892100,1900,52900
40,3.5,0.1,106,231,7.2,25,77,234,27,22,39,71,48,57,156,12,78,51,10808039,-1.8,37,8480,123,134,137,132,147,157,173,216,183,167,166,189,223,189,152,132,106,99,25546,27561,15402,5472,1165800,2793600,2100,67200
35,5.8,0.6,63,113,4.1,6.3,37,111,13,8.1,14,38,26,31,85,6.8,39,29,5752238,-3.5,36,6114,54,63,67,64,58,71,74,92,81,86,89,108,132,103,91,91,65,58,11551,17646,6966,2531,582300,1406700,1400,44700
26,3.5,0,33,54,1.5,6.3,14,51,7.8,4.0,6.3,19,14,21,48,3.2,19,16,2819974,-1.2,36,4147,25,30,37,37,34,40,44,49,46,49,48,65,71,51,43,44,37,29,5904,9307,3573,1445,296300,760900,600,25000
22,3.0,0.4,40,78,4.1,7.6,27,82,13,6.0,12,27,17,20,55,4.0,26,16,3571168,-1.5,36.8,1862,40,48,51,45,37,47,59,71,60,57,58,70,92,65,53,54,38,37,8397,11064,4975,1928,378600,970400,800,25400
43,5.8,0.1,54,102,4.2,7.1,32,111,16,8.1,14,42,26,30,79,6.4,30,20,4887896,-1.8,36.5,5678,61,63,69,61,61,75,82,101,79,80,91,100,122,95,86,74,61,61,11427,16344,6922,2811,576600,1391500,1300,39400
34,2.7,0.9,29,28,0.9,4.2,13,59,7.3,4.4,7.8,20,14,20,53,4.1,15,15,2158415,-3.1,35.5,7105,28,34,34,31,28,36,42,53,47,43,46,52,71,53,47,43,38,33,5518,9769,3328,1463,318300,739900,600,24700
