139456,32152,197668,145184,103465,10470,131550,32686,403317,4333
138148,26410,188688,137436,114909,11217,128669,29742,366773,8888
62293,23882,92618,101463,52613,15020,131659,37452,185655,232
73603,22282,100759,98739,54010,16046,118657,34925,181418,718
81738,24024,113084,95318,55562,16736,94268,33532,191487,692
91474,25489,116854,99964,62401,18166,78776,32986,198948,752
96076,18547,114743,97396,69443,18743,65574,29625,189240,2704
95717,15107,113229,90927,79530,19796,60935,26242,174838,3526
56134,29831,95465,85809,27129,6422,42257,16572,156869,1292
72521,26795,112329,92628,31535,7071,35869,15960,166904,4445
87129,32233,127382,104377,35675,8076,27968,16337,171860,5254
99677,34728,139922,112956,42916,9391,25922,17489,175764,7009
103526,24196,139444,112052,49970,10011,21015,16734,167638,11077
101865,18488,133523,104837,59476,10551,20487,16042,157585,11695
90159,45897,173799,154783,75661,12496,227507,55918,435655,362
109179,42259,189138,153281,78350,12616,177153,52014,448206,748
121311,46355,205611,157756,84114,13397,134881,51574,466089,975
136649,48710,213968,167294,95774,14761,118987,51465,468036,1685
144964,33185,215606,167592,106875,16342,90475,47480,438756,4528
143501,27379,206195,159281,119546,17869,89766,43175,410824,8039
49780,22231,78903,81112,40602,8188,114861,27685,157592,318
59570,19670,86958,79201,41501,8446,102769,25285,155075,668
66119,20792,92457,78609,43135,8481,80199,23963,167553,1084
74990,22568,98084,81445,47268,8947,67729,23512,176111,1198
78399,15654,99002,79157,52904,9466,55245,21755,167544,4168
76707,13264,96044,76074,60932,10045,50788,19782,162696,5313
78924,38111,130988,120437,51676,8927,121858,41522,331737,345
94647,33280,142793,118657,55266,9459,109351,38485,334473,1118
106823,34528,153546,122730,59237,9613,85870,37733,342496,869
122704,37554,166982,129921,66868,10334,78357,38561,336119,2159
126314,25179,166561,130712,75671,11080,62354,36382,314505,6749
124886,20066,161502,122531,86445,11819,59578,33616,298374,13771
43616,13913,62183,64886,38231,11708,53757,27054,112957,424
56847,15650,76721,69560,44571,12537,53970,26477,120152,2091
65105,18046,89375,74619,51482,12920,47136,26099,123680,1438
75016,19311,96525,80731,58229,13752,40938,25696,129830,1665
81021,15433,102019,81697,64840,14459,34500,25210,131668,4715
82665,12799,104759,78593,70798,15146,33320,23424,130629,8344
326222,207939,716860,702510,300841,40277,40797,157230,1311056,7315
432330,179516,789715,722920,317098,41812,37047,155160,1310504,22851
475476,181534,874024,762009,327000,43895,29897,156191,1343540,43193
526094,188820,892480,799313,362223,50043,29754,162676,1317088,42022
538069,122234,841205,757270,389391,52575,23957,149439,1189586,70455
